smiles,permeability_CO2,selectivity_CO2_CH4
Cc1c(C)c(C)c([CH3]2C(=O)c3cc4c(cc3C2=O)[CH3]2(CC(C)(C)c3cc5c(cc32)C(=O)N(C)C5=O)C[CH3]4(C)C)c(C)c1C,2180.0,12.823529411764707
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3]1(CC(C)(C)c2cc4c(cc21)C(=O)N(C)C4=O)C[CH3]3(C)C,2154.0,12.821428571428571
CN1C(=O)c2cc3c(cc2C1=O)[CH3]1(CC3(C)C)C[CH3](C)(C)c2cc3c(cc21)C(=O)[CH:9](c1ccc2c(c1)C(C)(C)C[C:7]21C[C:8](C)(C)[c:4]2[cH:3][cH:2][c:1]([CH3:9])[cH:6][c:5]21)C3=O,1523.0,11.806201550387597
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3]1(c2ccccc2-c2cc4c(cc21)C(=O)N(C)C4=O)c1cccc[cH3]1-3,4700.0,14.417177914110429
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3]1(C)CC[CH3]3(C)c2cc3c(cc-21)C(=O)N(C)C3=O,7340.0,16.061269146608314
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3]1[CH2:8][C@H:7]([CH3]3)[c:5]2[c:4]([cH:3][c:2]3[c:1]([cH:6]2)C(=O)N(C)C3=O)[CH2:10]1,1661.0,17.356321839080458
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3]c1c(cc2c(c1C)[CH3]1(C)CC[CH3]2(C)c2cc4c(c(C)c-21)[CH3]c1cc2c(cc1[CH3]4)C(=O)N(C)C2=O)[CH3]3,8070.0,11.414427157001414
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3](=[O:18])[C@@H:7]1[c:5]2[c:4]([cH:3][c:2]4[c:1]([cH:6]2)C(=O)N(C)C4=O)[C:10](=[O:19])[CH3]3[CH2:8]1,948.0,23.465346534653467
Cc1c(C)c(C)c(-[cH3]2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)[C@]2(C(C)C)c3ccccc3[C@@]6(C(C)C)c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc32)c(C)c1C,2389.0,22.752380952380953
CC(C)[C@@]12c3ccccc3[C@@](C(C)C)(c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc31)c1cc3oc4cc5c(=O)[c:1](-[c:2]6c#c7c([cH:11][cH:12]6)#c[c:6]6([CH3:8])[cH:5][c:4]8[cH:3][c:2]([CH3:1])[cH:12][cH:11][c:10]8[cH:9][c:7]6([CH3:8])[cH:5]7)c(=O)c5cc4oc3cc12,2071.0,20.504950495049506
