smiles,permeability_O2,selectivity_O2_N2
CN1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)N([cH3]1[c:23]([CH3:29])[cH:22][c:11]3[c:10]([cH:25]1)[C@:9]1([c:4]4[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6][c:5]4-[c:7]4[c:8]1[cH:14][c:15](C)[c:16](C)[cH:17]4)[c:13]1[c:12]-3[cH:21][c:20](C)[c:19](C)[cH:18]1)C2=O,111.0,3.881118881118881
CN1C(=O)c2ccc([CH3](c3ccc4c(c3)C(=O)N([cH3]3c(Br)[cH:22][c:11]5[c:10]([cH:25]3)[C@:9]3([c:4]6[cH:3][c:2]([CH3:27])c(Br)[cH:6][c:5]6-[c:7]6[c:8]3[cH:14][c:15](C)[c:16](C)[cH:17]6)[c:13]3[c:12]-5[cH:21][c:20](C)[c:19](C)[cH:18]3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,107.0,3.962962962962963
Cn1c(=O)c2[c-]c3c(=O)n(-c4c(Br)[cH:22][c:11]5[c:10]([cH:25]4)[C@:9]4([c:4]6[cH:3][c:2]([CH3:27])c(Br)[cH:6][c:5]6-[c:7]6[c:8]4[cH:14][c:15](C)[c:16](C)[cH:17]6)[c:13]4[c:12]-5[cH:21][c:20](C)[c:19](C)[cH:18]4)c(=O)c3[c-]c2c1=O,116.0,4.027777777777778
CN1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)N([cH3]1c(Br)[cH:22][c:11]3[c:10]([cH:25]1)[C@:9]1([c:4]4[cH:3][c:2]([CH3:27])c(Br)[cH:6][c:5]4-[c:7]4[c:8]1[cH:14][c:15](C)[c:16](C)[cH:17]4)[c:13]1[c:12]-3[cH:21][c:20](C)[c:19](C)[cH:18]1)C2=O,243.0,3.5217391304347827
C#c1[cH:2][c:1]([CH3]2C(=O)c3ccc([CH3](c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(#C)[c:5]2[c:4]1[CH2:10][CH3]1c3c(C)cc(C)c(C)c3[CH3][N:7]2[CH2:8]1,119.0,3.838709677419355
C#c1[cH:2][c:1]([CH3]2C(=O)c3ccc([CH3]([c:1]4ccc5c(c4)C(=O)N(C)C5=O)=[O:4])cc3C2=O)c(#C)[c:5]2[c:4]1[CH2:10][CH3]1c3c(C)cc(C)c(C)c3[CH3][N:7]2[CH2:8]1,14.0,5.6
C#c1[c:1]([CH3]2C(=O)c3ccc([CH3](c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)[cH:2][c:3](C)[c:4]2[c:5]1[N:7]1[CH3]c3c(C)c(C)cc(C)c3[CH3]([CH2:8]1)[CH2:10]2,42.0,4.421052631578948
C#c1[c:1]([CH3]2C(=O)c3ccc([CH3]c4ccc5c(c4)C(=O)N(C)C5=O)cc3C2=O)[cH:2][c:3](C)[c:4]2[c:5]1[N:7]1[CH3]c3c(C)c(C)cc(C)c3[CH3]([CH2:8]1)[CH2:10]2,3.5,2.692307692307692
C#c1[c:1]([CH3]2C(=O)c3ccc([CH3]([c:1]4ccc5c(c4)C(=O)N(C)C5=O)=[O:4])cc3C2=O)[cH:2][c:3](C)[c:4]2[c:5]1[N:7]1[CH3]c3c(C)c(C)cc(C)c3[CH3]([CH2:8]1)[CH2:10]2,4.9,2.578947368421053
CN1C(=O)c2ccc([CH3](c3ccc4c(c3)C(=O)[c:7]35([c:2]6[c:1]7c8[c:5]9%10[c:4]3([c:3]6-5)-[c:10](c7#8)([cH:11][cH:12]9)-[c:10]356[c:4]([cH:3][c:2]([cH:12][cH:11]3)[CH2:1][N:7]%10[CH2:8]5)[cH:5][cH:6][c:7]([CH3:8])[cH:9]6)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,28.0,4.3076923076923075
CN1C(=O)c2ccc([CH3]c3ccc4c(c3)C(=O)[c:7]35([c:2]6[c:1]7c8[c:5]9%10[c:4]3([c:3]6-5)-[c:10](c7#8)([cH:11][cH:12]9)-[c:10]356[c:4]([cH:3][c:2]([cH:12][cH:11]3)[CH2:1][N:7]%10[CH2:8]5)[cH:5][cH:6][c:7]([CH3:8])[cH:9]6)C4=O)cc2C1=O,2.5,5.0
Cn1c(=O)c2cc3oc4cc5c(cc4oc3cc2c1=O)C1(CC5(C)C)CC(C)(C)c2cc3oc4cc5c(=O)[c:7]67(c(=O)c5cc4oc3cc21)[c:2]1[c:1]2[c:4]3[c:6]2[c:5]24[c:4]6([c:3]1-7)-[c:10]3([cH:11][cH:12]2)-[c:10]123[c:4]([cH:3][c:2]([cH:12][cH:11]1)[CH2:1][N:7]4[CH2:8]2)[cH:5][cH:6][c:7]([CH3:8])[cH:9]3,190.0,5.428571428571429
C#c1[c:1](-[cH3]2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)C2(CC6(C)C)CC(C)(C)c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc32)[cH:2][c:3](C)[c:4]2[c:5]1[N:7]1[CH3]c3c(C)c(C)cc(C)c3[CH3]([CH2:8]1)[CH2:10]2,240.0,4.8979591836734695
C#c1[c:2]([CH3]2C(=O)c3ccc([CH3](c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(Br)c(#C)[c:5]2[c:4]1(C)[CH2:10][CH3]1c3c(C)c(C)c(C)c(C)c3[CH3][N:7]2[CH2:8]1,133.0,3.1666666666666665
C#c1[cH:2]c(#C)[c:6]([CH3]2C(=O)c3ccc([CH3](c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)[c:5]2[c:4]1[CH2:10][CH3]1c3c(C)cc(C)c(C)c3[CH3][N:7]2[CH2:8]1,123.0,3.6176470588235294
C#c1[c:1]([CH3]2C(=O)c3ccc([CH3](c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(#C)[c:5]2[c:4]([cH:3]1)[CH2:10][CH3]1c3cc(C)c(C)c(C)c3[CH3][N:7]2[CH2:8]1,408.0,3.0676691729323307
C#c1[c:1]([CH3]2C(=O)c3cc4c(cc3C2=O)C2(CC4(C)C)CC(C)(C)c3cc4c(cc32)C(=O)N(C)C4=O)c(#C)[c:5]2[c:4]([cH:3]1)[CH2:10][CH3]1c3cc(C)c(C)c(C)c3[CH3][N:7]2[CH2:8]1,1132.0,3.043010752688172
C#c1[c:1](-[cH3]2c(=O)c3[c-]c4c(=O)n(C)c(=O)c4[c-]c3c2=O)c(#C)[c:5]2[c:4]([cH:3]1)[CH2:10][CH3]1c3cc(C)c(C)c(C)c3[CH3][N:7]2[CH2:8]1,1080.0,3.7241379310344827
